news_updated_at,news_url,title
2020-04-03,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4002587/index.html,中国人民银行决定于2020年4月对中小银行定向降准，并下调金融机构在央行超额存款准备金利率
2020-04-01,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4001230/index.html,中国人民银行发布修订后的《中国人民银行行政许可实施办法》
2020-04-01,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4001164/index.html,中国人民银行行长易纲出席二十国集团财长和央行行长视频会议
2020-03-27,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3997385/index.html,中国人民银行行长易纲出席国际货币与金融委员会视频会议
2020-03-27,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3997340/index.html,中国人民银行货币政策委员会召开2020年第一季度例会
2020-03-26,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3995808/index.html,中国人民银行在香港成功发行100亿元人民币央行票据
2020-03-25,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3995701/index.html,中国人民银行公告〔2020〕第1号
2020-03-25,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3995679/index.html,中国人民银行行长易纲出席二十国集团财长和央行行长视频会议
2020-03-25,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3995347/index.html,中国人民银行于3月25日开展央行票据互换（CBS）操作
2020-03-25,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3995344/index.html,中国人民银行与北京2022年冬奥会和冬残奥会组织委员会正式签署第24届冬季奥林匹克运动会纪念币发行协议
2020-03-23,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3993266/index.html,2019年末金融业机构总资产318.69万亿元
2020-03-22,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3993125/index.html,“应对国际疫情影响，维护金融市场稳定”发布会实录
2020-03-20,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3992251/index.html,2020年2月份金融市场运行情况
2020-03-17,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3990910/index.html,人民银行召开电视电话会议进一步部署运用再贷款再贴现支持复工复产工作
2020-03-17,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3990497/index.html,2019年支付体系运行总体情况
2020-03-17,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3990502/index.html,2019年第四季度支付体系运行总体情况
2020-03-15,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3989515/index.html,国务院联防联控机制“金融政策支持疫情防控和复工复产”新闻发布会实录
2020-03-13,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3989149/index.html,中国人民银行有关负责人表示：定向降准支持实体经济发展
2020-03-13,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3989112/index.html,中国人民银行决定于2020年3月16日定向降准，释放长期资金5500亿元
2020-03-11,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3987522/index.html,中国人民银行、中国证监会有关负责同志就债券市场支持实体经济发展有关问题答记者问
2020-03-11,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3987299/index.html,2020年2月金融统计数据报告
2020-03-11,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3987296/index.html,2020年2月社会融资规模存量统计数据报告
2020-03-11,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3987292/index.html,2020年2月社会融资规模增量统计数据报告
2020-03-05,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3983135/index.html,人民银行、发展改革委等六部门联合印发 《统筹监管金融基础设施工作方案》
2020-03-04,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3983034/index.html,金融支持疫情防控和经济社会发展座谈会在京召开
2020-03-02,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3980905/index.html,“一带一路”银行间常态化合作机制倡议支持中国等国家抗击新冠肺炎疫情
2020-03-02,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3980372/index.html,2019年地区社会融资规模增量统计表
